Source,Target,Name
QDi.311,QDe.010,AYYUB BASHIR 
QDi.311,QDi.303,AYYUB BASHIR 
QDi.345,QDe.115,TARKHAN TAYUMURAZOVICH BATIRASHVILI
QDi.279,QDe.014,MOHAMED BELKALEM 
QDi.136,QDe.014,MOKHTAR BELMOKHTAR 
QDi.136,QDe.139,MOKHTAR BELMOKHTAR 
QDi.136,QDe.140,MOKHTAR BELMOKHTAR 
QDi.136,QDe.141,MOKHTAR BELMOKHTAR 
QDi.375,QDe.115,BOUBAKER BEN HABIB BEN AL-HAKIM
QDi.355,QDe.145,SOFIANE BEN GOUMO 
QDi.333,QDe.090,SEIFALLAH BEN OMAR BEN MOHAMED
QDi.333,QDe.143,SEIFALLAH BEN OMAR BEN MOHAMED
QDi.386,QDe.014,MOUNIR BEN DHAOU BEN BRAHIM
QDi.386,QDe.115,MOUNIR BEN DHAOU BEN BRAHIM
QDi.388,QDe.115,SALIM BENGHALEM 
QDi.307,QDe.118,HAFIZ ABDUL SALAM BHUTTAVI
QDi.307,QDi.263,HAFIZ ABDUL SALAM BHUTTAVI
QDi.421,QDi.006,HAMZA USAMA MUHAMMAD
QDi.421,QDe.004,HAMZA USAMA MUHAMMAD
QDi.417,QDe.115,MOHAMAD RAFI BIN UDIN
QDi.058,QDe.069,BOUBEKEUR BOULGHITI 
QDi.058,QDe.004,BOUBEKEUR BOULGHITI 
QDi.396,QDe.100,ASLAN AVGAZAROVICH BYUTUKAEV
QDi.405,QDe.115,Malik Ruslanovich Barkhanoev
QDi.365,QDe.115,AKHMED RAJAPOVICH CHATAEV
QDi.312,QDe.132,AAMIR ALI CHAUDHRY
QDi.376,QDe.129,PETER CHERIF 
QDi.419,QDe.115,ANJEM CHOUDARY 
QDi.300,QDe.010,MONIR CHOUKA 
QDi.300,QDi.301,MONIR CHOUKA 
QDi.301,QDe.010,YASSIN CHOUKA 
QDi.301,QDi.300,YASSIN CHOUKA 
QDi.410,QDe.115,SHANE DOMINIC CRAWFORD
QDi.331,QDe.129,ANDERS CAMEROON OSTENSVIG
QDi.245,QDe.128,PIO ABOGNE DE VERA
QDi.245,QDe.001,PIO ABOGNE DE VERA
QDi.245,QDe.092,PIO ABOGNE DE VERA
QDi.252,QDe.014,AHMED DEGHDEGH 
QDi.246,QDe.128,REDENDO CAIN DELLOSA
QDi.246,QDe.001,REDENDO CAIN DELLOSA
QDi.243,QDe.128,FELICIANO SEMBORIO DELOS REYES JR.
QDi.342,QDe.137,OUMAR DIABY 
QDi.167,QDe.014,KAMEL DJERMANE 
TAi.092,TAi.034,DOST MOHAMMAD  
QDi.232,QDe.014,ABDELMALEK DROUKDEL 
QDi.409,QDe.115,ELSHAFEE EL SHEIKH 
QDi.352,QDe.132,MAULANA FAZLULLAH 
QDi.251,QDe.014,SALAH EDDINE GASMI 
QDi.251,QDi.232,SALAH EDDINE GASMI 
CFi.007,CFi.002,HAROUN GAYE 
